timestamp,time_elapsed,pos_x,pos_y,pos_z,goal_x,goal_y,goal_z,cmd_vel_x,cmd_vel_y,cmd_vel_z,desired_vel_x,desired_vel_y,desired_vel_z,actual_vel_x,actual_vel_y,actual_vel_z,distance_to_goal,obstacle_main_x,obstacle_main_y,obstacle_main_z,obstacle_0_x,obstacle_0_y,obstacle_0_z,obstacle_1_x,obstacle_1_y,obstacle_1_z,obstacle_2_x,obstacle_2_y,obstacle_2_z,obstacle_3_x,obstacle_3_y,obstacle_3_z,obstacle_4_x,obstacle_4_y,obstacle_4_z,obstacle_5_x,obstacle_5_y,obstacle_5_z,obstacle_6_x,obstacle_6_y,obstacle_6_z,obstacle_7_x,obstacle_7_y,obstacle_7_z,obstacle_8_x,obstacle_8_y,obstacle_8_z,obstacle_9_x,obstacle_9_y,obstacle_9_z
1750613303.1354396,3.181126117706299,-4.311720491964003,-0.013375267318839727,0.2543837712048182,10.0,0.0,0.0,0.9255212895664391,-0.0447486980647896,-0.345170297937453,0.9998048638932509,0.0006620741640427491,-0.019743246774515895,0.9255212895666887,-0.044748698064788976,-0.34517029793745824,inf,nan,nan,nan,nan,nan,nan,0.0,-3.0,0.5,1.0,-2.0,0.5,2.0,-1.0,0.5,3.0,0.0,0.5,2.0,1.0,0.5,1.0,2.0,0.5,0.0,3.0,0.5,nan,nan,nan,nan,nan,nan
1750613303.2374845,3.2831709384918213,-4.218676674811416,-0.019923661024520853,0.22115790808793961,10.0,0.0,0.0,0.9318249843863686,-0.07133233779815062,-0.32861687900327596,0.9998464604333248,0.0009726935769673139,-0.017495983143488335,0.9318249843861537,-0.07133233779815092,-0.32861687900326286,inf,nan,nan,nan,nan,nan,nan,0.0,-3.0,0.5,1.0,-2.0,0.5,2.0,-1.0,0.5,3.0,0.0,0.5,2.0,1.0,0.5,1.0,2.0,0.5,0.0,3.0,0.5,nan,nan,nan,nan,nan,nan
1750613303.339767,3.385453462600708,-4.125494176372801,-0.027056894804335943,0.18829622018761333,10.0,0.0,0.0,0.9390985430227892,-0.0225222214952312,-0.3191855499051548,0.9998810844972357,0.0014470644953869824,-0.015353268999737003,0.9318249843861537,-0.07133233779815092,-0.32861687900326286,inf,nan,nan,nan,nan,nan,nan,0.0,-3.0,0.5,1.0,-2.0,0.5,2.0,-1.0,0.5,3.0,0.0,0.5,2.0,1.0,0.5,1.0,2.0,0.5,0.0,3.0,0.5,nan,nan,nan,nan,nan,nan
1750613303.4415507,3.4872372150421143,-4.03171524612601,-0.030187699047311715,0.1562079012733324,10.0,0.0,0.0,0.9390985430227892,-0.0225222214952312,-0.3191855499051548,0.9999113354841803,0.001949123841908818,-0.013172778237412036,0.9390985430224319,-0.022522221495232392,-0.31918554990514886,inf,nan,nan,nan,nan,nan,nan,0.0,-3.0,0.5,1.0,-2.0,0.5,2.0,-1.0,0.5,3.0,0.0,0.5,2.0,1.0,0.5,1.0,2.0,0.5,0.0,3.0,0.5,nan,nan,nan,nan,nan,nan
1750613303.5444062,3.590092658996582,-3.9378053918237375,-0.032439921196834774,0.12428934628281751,10.0,0.0,0.0,0.9390985430227892,-0.0225222214952312,-0.3191855499051548,0.9999369257842862,0.0021600025892257995,-0.011021744049176422,0.939098543022876,-0.022522221495228922,-0.31918554990514886,inf,nan,nan,nan,nan,nan,nan,0.0,-3.0,0.5,1.0,-2.0,0.5,2.0,-1.0,0.5,3.0,0.0,0.5,2.0,1.0,0.5,1.0,2.0,0.5,0.0,3.0,0.5,nan,nan,nan,nan,nan,nan
1750613303.6470642,3.6927506923675537,-3.84389553752145,-0.034692143346357666,0.09237079129230263,10.0,0.0,0.0,0.9390985430227892,-0.0225222214952312,-0.3191855499051548,0.9999746011947679,0.002505888758936468,-0.006672142601352127,0.939098543022876,-0.022522221495228922,-0.31918554990514886,inf,nan,nan,nan,nan,nan,nan,0.0,-3.0,0.5,1.0,-2.0,0.5,2.0,-1.0,0.5,3.0,0.0,0.5,2.0,1.0,0.5,1.0,2.0,0.5,0.0,3.0,0.5,nan,nan,nan,nan,nan,nan
1750613303.7512906,3.7969770431518555,-3.7499856832191623,-0.03694436549588056,0.060452236301787705,10.0,0.0,0.0,0.9390985430227892,-0.0225222214952312,-0.3191855499051548,0.9999864360587526,0.0026813660235937187,-0.004465195937666405,0.939098543022876,-0.022522221495228922,-0.31918554990515363,inf,nan,nan,nan,nan,nan,nan,0.0,-3.0,0.5,1.0,-2.0,0.5,2.0,-1.0,0.5,3.0,0.0,0.5,2.0,1.0,0.5,1.0,2.0,0.5,0.0,3.0,0.5,nan,nan,nan,nan,nan,nan
1750613303.8546476,3.900334119796753,-3.6560758289168747,-0.03919658764540345,0.02853368131127213,10.0,0.0,0.0,0.9390985430227892,-0.0225222214952312,-0.3191855499051548,0.999993428869786,0.002859173298011467,-0.0022287542036276567,0.939098543022876,-0.022522221495228922,-0.31918554990515574,inf,nan,nan,nan,nan,nan,nan,0.0,-3.0,0.5,1.0,-2.0,0.5,2.0,-1.0,0.5,3.0,0.0,0.5,2.0,1.0,0.5,1.0,2.0,0.5,0.0,3.0,0.5,nan,nan,nan,nan,nan,nan
1750613303.9587402,4.004426717758179,-3.562165974614587,-0.04144880979492634,-0.0033848736792433695,10.0,0.0,0.0,0.9390985430227892,-0.0225222214952312,-0.3191855499051548,0.9999953867313969,0.003037484757707242,1.4222192067966888e-05,0.939098543022876,-0.022522221495228922,-0.3191855499051548,inf,nan,nan,nan,nan,nan,nan,0.0,-3.0,0.5,1.0,-2.0,0.5,2.0,-1.0,0.5,3.0,0.0,0.5,2.0,1.0,0.5,1.0,2.0,0.5,0.0,3.0,0.5,nan,nan,nan,nan,nan,nan
1750613304.0600007,4.105687141418457,-3.4682561203122995,-0.043701031944449235,-0.035303428669758885,10.0,0.0,0.0,0.9390985430227892,-0.0225222214952312,-0.3191855499051548,0.9999921451441917,0.0032200598441626733,0.0023110310507933568,0.939098543022876,-0.022522221495228922,-0.31918554990515574,inf,nan,nan,nan,nan,nan,nan,0.0,-3.0,0.5,1.0,-2.0,0.5,2.0,-1.0,0.5,3.0,0.0,0.5,2.0,1.0,0.5,1.0,2.0,0.5,0.0,3.0,0.5,nan,nan,nan,nan,nan,nan
